id,title,body,category,priority
0,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
1,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
2,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
3,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
4,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
5,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
6,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
7,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
8,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
9,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
10,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
11,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
12,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
13,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
14,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
15,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
16,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
17,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
18,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
19,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
20,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
21,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
22,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
23,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
24,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
25,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
26,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
27,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
28,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
29,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
30,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
31,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
32,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
33,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
34,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
35,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
36,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
37,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
38,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
39,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
40,Problema accesso,Applicazione bloccante dopo l’accesso,Tecnico,alta
41,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
42,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
43,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
44,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
45,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
46,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
47,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
48,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
49,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
50,Pagamento non registrato,Il pagamento risulta effettuato ma non compare,Amministrazione,media
51,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
52,Problema accesso,Il sistema restituisce un errore critico,Tecnico,alta
53,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
54,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
55,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
56,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
57,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
58,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
59,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
60,Domanda su ordine,Informazioni su sconti e prezzi,Commerciale,media
61,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
62,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
63,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
64,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
65,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
66,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
67,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
68,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
69,Richiesta nota di credito,La fattura di marzo presenta un errore di importo,Amministrazione,alta
70,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
71,Richiesta offerta,Chiarimenti sullo stato dell’ordine,Commerciale,media
72,Informazioni prezzi,Chiarimenti sullo stato dell’ordine,Commerciale,media
73,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
74,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
75,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
76,Domanda su ordine,Chiarimenti sullo stato dell’ordine,Commerciale,media
77,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
78,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
79,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
80,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
81,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
82,Informazioni prezzi,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
83,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
84,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
85,Pagamento non registrato,Serve chiarimento su una fattura scaduta,Amministrazione,media
86,Errore applicazione,Impossibile completare l’operazione,Tecnico,alta
87,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
88,Domanda su ordine,Vorrei ricevere un’offerta aggiornata,Commerciale,media
89,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
90,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
91,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
92,Sistema bloccato,Impossibile completare l’operazione,Tecnico,bassa
93,Richiesta nota di credito,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
94,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
95,Problema accesso,Applicazione bloccante dopo l’accesso,Tecnico,alta
96,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
97,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
98,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
99,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
100,Pagamento non registrato,Serve chiarimento su una fattura scaduta,Amministrazione,media
101,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
102,Richiesta offerta,Vorrei ricevere un’offerta aggiornata,Commerciale,bassa
103,Problema fattura,Il pagamento risulta effettuato ma non compare,Amministrazione,media
104,Sistema bloccato,Il sistema restituisce un errore critico,Tecnico,alta
105,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
106,Errore applicazione,Applicazione bloccante dopo l’accesso,Tecnico,alta
107,Sistema bloccato,Applicazione bloccante dopo l’accesso,Tecnico,alta
108,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
109,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
110,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
111,Errore applicazione,Il sistema restituisce un errore critico,Tecnico,alta
112,Informazioni prezzi,Informazioni su sconti e prezzi,Commerciale,bassa
113,Richiesta nota di credito,Il pagamento risulta effettuato ma non compare,Amministrazione,media
114,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
115,Problema accesso,Impossibile completare l’operazione,Tecnico,bassa
116,Problema fattura,Serve chiarimento su una fattura scaduta,Amministrazione,bassa
117,Problema fattura,La fattura di marzo presenta un errore di importo,Amministrazione,alta
118,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
119,Pagamento non registrato,La fattura di marzo presenta un errore di importo,Amministrazione,alta
120,Richiesta offerta,Informazioni su sconti e prezzi,Commerciale,bassa
